segment_path,source_file,speaker,original_id,segment_index,start_sample,target_class,risk_score,binary_confidence,agreement,emotion_vote,num_responses,A,D,F,H,N,S
voicevote_v61/non_risk/1001__1001_IOM_HAP_XX__seg02.wav,1001_IOM_HAP_XX.wav,1001,1001_IOM_HAP_XX,2,16000,non_risk,0.09090909,0.90909091,0.54545455,N,11,1,0,0,4,6,0
voicevote_v61/non_risk/1001__1001_IOM_NEU_XX__seg00.wav,1001_IOM_NEU_XX.wav,1001,1001_IOM_NEU_XX,0,0,non_risk,0.00000000,1.00000000,0.54545455,N,11,0,1,0,4,6,0
voicevote_v61/non_risk/1001__1001_IOM_NEU_XX__seg01.wav,1001_IOM_NEU_XX.wav,1001,1001_IOM_NEU_XX,1,8000,non_risk,0.00000000,1.00000000,0.54545455,N,11,0,1,0,4,6,0
voicevote_v61/non_risk/1001__1001_IOM_NEU_XX__seg02.wav,1001_IOM_NEU_XX.wav,1001,1001_IOM_NEU_XX,2,16000,non_risk,0.00000000,1.00000000,0.54545455,N,11,0,1,0,4,6,0
voicevote_v61/non_risk/1001__1001_IOM_NEU_XX__seg03.wav,1001_IOM_NEU_XX.wav,1001,1001_IOM_NEU_XX,3,24000,non_risk,0.00000000,1.00000000,0.54545455,N,11,0,1,0,4,6,0
voicevote_v61/non_risk/1001__1001_IOM_SAD_XX__seg00.wav,1001_IOM_SAD_XX.wav,1001,1001_IOM_SAD_XX,0,0,non_risk,0.27272727,0.72727273,0.72727273,N,11,2,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_IOM_SAD_XX__seg01.wav,1001_IOM_SAD_XX.wav,1001,1001_IOM_SAD_XX,1,8000,non_risk,0.27272727,0.72727273,0.72727273,N,11,2,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_IOM_SAD_XX__seg02.wav,1001_IOM_SAD_XX.wav,1001,1001_IOM_SAD_XX,2,16000,non_risk,0.27272727,0.72727273,0.72727273,N,11,2,0,1,0,8,0
voicevote_v61/risk/1001__1001_ITH_FEA_XX__seg00.wav,1001_ITH_FEA_XX.wav,1001,1001_ITH_FEA_XX,0,0,risk,1.00000000,1.00000000,1.00000000,F,9,0,0,9,0,0,0
voicevote_v61/risk/1001__1001_ITH_FEA_XX__seg01.wav,1001_ITH_FEA_XX.wav,1001,1001_ITH_FEA_XX,1,8000,risk,1.00000000,1.00000000,1.00000000,F,9,0,0,9,0,0,0
voicevote_v61/risk/1001__1001_ITH_FEA_XX__seg02.wav,1001_ITH_FEA_XX.wav,1001,1001_ITH_FEA_XX,2,16000,risk,1.00000000,1.00000000,1.00000000,F,9,0,0,9,0,0,0
voicevote_v61/non_risk/1001__1001_ITH_NEU_XX__seg00.wav,1001_ITH_NEU_XX.wav,1001,1001_ITH_NEU_XX,0,0,non_risk,0.10000000,0.90000000,0.80000000,N,10,0,0,1,1,8,0
voicevote_v61/non_risk/1001__1001_ITH_NEU_XX__seg01.wav,1001_ITH_NEU_XX.wav,1001,1001_ITH_NEU_XX,1,8000,non_risk,0.10000000,0.90000000,0.80000000,N,10,0,0,1,1,8,0
voicevote_v61/non_risk/1001__1001_ITH_NEU_XX__seg02.wav,1001_ITH_NEU_XX.wav,1001,1001_ITH_NEU_XX,2,16000,non_risk,0.10000000,0.90000000,0.80000000,N,10,0,0,1,1,8,0
voicevote_v61/non_risk/1001__1001_ITH_NEU_XX__seg03.wav,1001_ITH_NEU_XX.wav,1001,1001_ITH_NEU_XX,3,24000,non_risk,0.10000000,0.90000000,0.80000000,N,10,0,0,1,1,8,0
voicevote_v61/non_risk/1001__1001_ITS_HAP_XX__seg00.wav,1001_ITS_HAP_XX.wav,1001,1001_ITS_HAP_XX,0,0,non_risk,0.20000000,0.80000000,0.60000000,H,10,0,0,2,6,2,0
voicevote_v61/non_risk/1001__1001_ITS_HAP_XX__seg01.wav,1001_ITS_HAP_XX.wav,1001,1001_ITS_HAP_XX,1,8000,non_risk,0.20000000,0.80000000,0.60000000,H,10,0,0,2,6,2,0
voicevote_v61/non_risk/1001__1001_ITS_HAP_XX__seg02.wav,1001_ITS_HAP_XX.wav,1001,1001_ITS_HAP_XX,2,16000,non_risk,0.20000000,0.80000000,0.60000000,H,10,0,0,2,6,2,0
voicevote_v61/non_risk/1001__1001_ITS_NEU_XX__seg00.wav,1001_ITS_NEU_XX.wav,1001,1001_ITS_NEU_XX,0,0,non_risk,0.00000000,1.00000000,1.00000000,N,9,0,0,0,0,9,0
voicevote_v61/non_risk/1001__1001_ITS_NEU_XX__seg01.wav,1001_ITS_NEU_XX.wav,1001,1001_ITS_NEU_XX,1,8000,non_risk,0.00000000,1.00000000,1.00000000,N,9,0,0,0,0,9,0
voicevote_v61/non_risk/1001__1001_ITS_NEU_XX__seg02.wav,1001_ITS_NEU_XX.wav,1001,1001_ITS_NEU_XX,2,16000,non_risk,0.00000000,1.00000000,1.00000000,N,9,0,0,0,0,9,0
voicevote_v61/non_risk/1001__1001_ITS_NEU_XX__seg03.wav,1001_ITS_NEU_XX.wav,1001,1001_ITS_NEU_XX,3,24000,non_risk,0.00000000,1.00000000,1.00000000,N,9,0,0,0,0,9,0
voicevote_v61/risk/1001__1001_IWL_ANG_XX__seg00.wav,1001_IWL_ANG_XX.wav,1001,1001_IWL_ANG_XX,0,0,risk,0.87500000,0.87500000,0.77777778,A,9,7,1,0,0,1,0
voicevote_v61/risk/1001__1001_IWL_ANG_XX__seg01.wav,1001_IWL_ANG_XX.wav,1001,1001_IWL_ANG_XX,1,8000,risk,0.87500000,0.87500000,0.77777778,A,9,7,1,0,0,1,0
voicevote_v61/risk/1001__1001_IWL_ANG_XX__seg02.wav,1001_IWL_ANG_XX.wav,1001,1001_IWL_ANG_XX,2,16000,risk,0.87500000,0.87500000,0.77777778,A,9,7,1,0,0,1,0
voicevote_v61/risk/1001__1001_IWL_ANG_XX__seg03.wav,1001_IWL_ANG_XX.wav,1001,1001_IWL_ANG_XX,3,24000,risk,0.87500000,0.87500000,0.77777778,A,9,7,1,0,0,1,0
voicevote_v61/risk/1001__1001_IWL_ANG_XX__seg04.wav,1001_IWL_ANG_XX.wav,1001,1001_IWL_ANG_XX,4,32000,risk,0.87500000,0.87500000,0.77777778,A,9,7,1,0,0,1,0
voicevote_v61/non_risk/1001__1001_IWL_DIS_XX__seg00.wav,1001_IWL_DIS_XX.wav,1001,1001_IWL_DIS_XX,0,0,non_risk,0.25000000,0.75000000,0.66666667,N,9,2,1,0,0,6,0
voicevote_v61/non_risk/1001__1001_IWL_DIS_XX__seg01.wav,1001_IWL_DIS_XX.wav,1001,1001_IWL_DIS_XX,1,8000,non_risk,0.25000000,0.75000000,0.66666667,N,9,2,1,0,0,6,0
voicevote_v61/non_risk/1001__1001_IWL_DIS_XX__seg02.wav,1001_IWL_DIS_XX.wav,1001,1001_IWL_DIS_XX,2,16000,non_risk,0.25000000,0.75000000,0.66666667,N,9,2,1,0,0,6,0
voicevote_v61/non_risk/1001__1001_IWL_DIS_XX__seg03.wav,1001_IWL_DIS_XX.wav,1001,1001_IWL_DIS_XX,3,24000,non_risk,0.25000000,0.75000000,0.66666667,N,9,2,1,0,0,6,0
voicevote_v61/non_risk/1001__1001_IWL_NEU_XX__seg00.wav,1001_IWL_NEU_XX.wav,1001,1001_IWL_NEU_XX,0,0,non_risk,0.00000000,1.00000000,0.80000000,N,10,0,2,0,0,8,0
voicevote_v61/non_risk/1001__1001_IWL_NEU_XX__seg01.wav,1001_IWL_NEU_XX.wav,1001,1001_IWL_NEU_XX,1,8000,non_risk,0.00000000,1.00000000,0.80000000,N,10,0,2,0,0,8,0
voicevote_v61/non_risk/1001__1001_IWL_NEU_XX__seg02.wav,1001_IWL_NEU_XX.wav,1001,1001_IWL_NEU_XX,2,16000,non_risk,0.00000000,1.00000000,0.80000000,N,10,0,2,0,0,8,0
voicevote_v61/non_risk/1001__1001_IWL_NEU_XX__seg03.wav,1001_IWL_NEU_XX.wav,1001,1001_IWL_NEU_XX,3,24000,non_risk,0.00000000,1.00000000,0.80000000,N,10,0,2,0,0,8,0
voicevote_v61/non_risk/1001__1001_IWL_NEU_XX__seg04.wav,1001_IWL_NEU_XX.wav,1001,1001_IWL_NEU_XX,4,32000,non_risk,0.00000000,1.00000000,0.80000000,N,10,0,2,0,0,8,0
voicevote_v61/non_risk/1001__1001_IWL_SAD_XX__seg00.wav,1001_IWL_SAD_XX.wav,1001,1001_IWL_SAD_XX,0,0,non_risk,0.12500000,0.87500000,0.70000000,N,10,1,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_IWL_SAD_XX__seg01.wav,1001_IWL_SAD_XX.wav,1001,1001_IWL_SAD_XX,1,8000,non_risk,0.12500000,0.87500000,0.70000000,N,10,1,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_IWL_SAD_XX__seg02.wav,1001_IWL_SAD_XX.wav,1001,1001_IWL_SAD_XX,2,16000,non_risk,0.12500000,0.87500000,0.70000000,N,10,1,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_IWL_SAD_XX__seg03.wav,1001_IWL_SAD_XX.wav,1001,1001_IWL_SAD_XX,3,24000,non_risk,0.12500000,0.87500000,0.70000000,N,10,1,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_IWL_SAD_XX__seg04.wav,1001_IWL_SAD_XX.wav,1001,1001_IWL_SAD_XX,4,32000,non_risk,0.12500000,0.87500000,0.70000000,N,10,1,2,0,0,7,0
voicevote_v61/risk/1001__1001_IWW_FEA_XX__seg00.wav,1001_IWW_FEA_XX.wav,1001,1001_IWW_FEA_XX,0,0,risk,1.00000000,1.00000000,0.50000000,A,8,4,2,2,0,0,0
voicevote_v61/risk/1001__1001_IWW_FEA_XX__seg01.wav,1001_IWW_FEA_XX.wav,1001,1001_IWW_FEA_XX,1,8000,risk,1.00000000,1.00000000,0.50000000,A,8,4,2,2,0,0,0
voicevote_v61/risk/1001__1001_IWW_FEA_XX__seg02.wav,1001_IWW_FEA_XX.wav,1001,1001_IWW_FEA_XX,2,16000,risk,1.00000000,1.00000000,0.50000000,A,8,4,2,2,0,0,0
voicevote_v61/non_risk/1001__1001_IWW_NEU_XX__seg00.wav,1001_IWW_NEU_XX.wav,1001,1001_IWW_NEU_XX,0,0,non_risk,0.20000000,0.80000000,0.80000000,N,10,1,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_IWW_NEU_XX__seg01.wav,1001_IWW_NEU_XX.wav,1001,1001_IWW_NEU_XX,1,8000,non_risk,0.20000000,0.80000000,0.80000000,N,10,1,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_IWW_NEU_XX__seg02.wav,1001_IWW_NEU_XX.wav,1001,1001_IWW_NEU_XX,2,16000,non_risk,0.20000000,0.80000000,0.80000000,N,10,1,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_IWW_NEU_XX__seg03.wav,1001_IWW_NEU_XX.wav,1001,1001_IWW_NEU_XX,3,24000,non_risk,0.20000000,0.80000000,0.80000000,N,10,1,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_MTI_ANG_XX__seg00.wav,1001_MTI_ANG_XX.wav,1001,1001_MTI_ANG_XX,0,0,non_risk,0.00000000,1.00000000,0.77777778,N,9,0,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_MTI_ANG_XX__seg01.wav,1001_MTI_ANG_XX.wav,1001,1001_MTI_ANG_XX,1,8000,non_risk,0.00000000,1.00000000,0.77777778,N,9,0,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_MTI_ANG_XX__seg02.wav,1001_MTI_ANG_XX.wav,1001,1001_MTI_ANG_XX,2,16000,non_risk,0.00000000,1.00000000,0.77777778,N,9,0,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_MTI_ANG_XX__seg03.wav,1001_MTI_ANG_XX.wav,1001,1001_MTI_ANG_XX,3,24000,non_risk,0.00000000,1.00000000,0.77777778,N,9,0,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_MTI_ANG_XX__seg04.wav,1001_MTI_ANG_XX.wav,1001,1001_MTI_ANG_XX,4,32000,non_risk,0.00000000,1.00000000,0.77777778,N,9,0,2,0,0,7,0
voicevote_v61/non_risk/1001__1001_MTI_HAP_XX__seg00.wav,1001_MTI_HAP_XX.wav,1001,1001_MTI_HAP_XX,0,0,non_risk,0.20000000,0.80000000,0.40000000,H:N,10,1,0,1,4,4,0
voicevote_v61/non_risk/1001__1001_MTI_HAP_XX__seg01.wav,1001_MTI_HAP_XX.wav,1001,1001_MTI_HAP_XX,1,8000,non_risk,0.20000000,0.80000000,0.40000000,H:N,10,1,0,1,4,4,0
voicevote_v61/non_risk/1001__1001_MTI_HAP_XX__seg02.wav,1001_MTI_HAP_XX.wav,1001,1001_MTI_HAP_XX,2,16000,non_risk,0.20000000,0.80000000,0.40000000,H:N,10,1,0,1,4,4,0
voicevote_v61/non_risk/1001__1001_MTI_HAP_XX__seg03.wav,1001_MTI_HAP_XX.wav,1001,1001_MTI_HAP_XX,3,24000,non_risk,0.20000000,0.80000000,0.40000000,H:N,10,1,0,1,4,4,0
voicevote_v61/non_risk/1001__1001_MTI_NEU_XX__seg00.wav,1001_MTI_NEU_XX.wav,1001,1001_MTI_NEU_XX,0,0,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,0,0,1,8,0
voicevote_v61/non_risk/1001__1001_MTI_NEU_XX__seg01.wav,1001_MTI_NEU_XX.wav,1001,1001_MTI_NEU_XX,1,8000,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,0,0,1,8,0
voicevote_v61/non_risk/1001__1001_MTI_NEU_XX__seg02.wav,1001_MTI_NEU_XX.wav,1001,1001_MTI_NEU_XX,2,16000,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,0,0,1,8,0
voicevote_v61/non_risk/1001__1001_MTI_NEU_XX__seg03.wav,1001_MTI_NEU_XX.wav,1001,1001_MTI_NEU_XX,3,24000,non_risk,0.00000000,1.00000000,0.88888889,N,9,0,0,0,1,8,0
voicevote_v61/non_risk/1001__1001_MTI_SAD_XX__seg00.wav,1001_MTI_SAD_XX.wav,1001,1001_MTI_SAD_XX,0,0,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_MTI_SAD_XX__seg01.wav,1001_MTI_SAD_XX.wav,1001,1001_MTI_SAD_XX,1,8000,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_MTI_SAD_XX__seg02.wav,1001_MTI_SAD_XX.wav,1001,1001_MTI_SAD_XX,2,16000,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_MTI_SAD_XX__seg03.wav,1001_MTI_SAD_XX.wav,1001,1001_MTI_SAD_XX,3,24000,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,1,0,8,0
voicevote_v61/non_risk/1001__1001_TAI_HAP_XX__seg00.wav,1001_TAI_HAP_XX.wav,1001,1001_TAI_HAP_XX,0,0,non_risk,0.00000000,1.00000000,0.87500000,N,8,0,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_TAI_HAP_XX__seg01.wav,1001_TAI_HAP_XX.wav,1001,1001_TAI_HAP_XX,1,8000,non_risk,0.00000000,1.00000000,0.87500000,N,8,0,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_TAI_HAP_XX__seg02.wav,1001_TAI_HAP_XX.wav,1001,1001_TAI_HAP_XX,2,16000,non_risk,0.00000000,1.00000000,0.87500000,N,8,0,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_TAI_HAP_XX__seg03.wav,1001_TAI_HAP_XX.wav,1001,1001_TAI_HAP_XX,3,24000,non_risk,0.00000000,1.00000000,0.87500000,N,8,0,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_TAI_NEU_XX__seg00.wav,1001_TAI_NEU_XX.wav,1001,1001_TAI_NEU_XX,0,0,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,0,0,8,1
voicevote_v61/non_risk/1001__1001_TAI_NEU_XX__seg01.wav,1001_TAI_NEU_XX.wav,1001,1001_TAI_NEU_XX,1,8000,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,0,0,8,1
voicevote_v61/non_risk/1001__1001_TAI_NEU_XX__seg02.wav,1001_TAI_NEU_XX.wav,1001,1001_TAI_NEU_XX,2,16000,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,0,0,8,1
voicevote_v61/non_risk/1001__1001_TAI_NEU_XX__seg03.wav,1001_TAI_NEU_XX.wav,1001,1001_TAI_NEU_XX,3,24000,non_risk,0.11111111,0.88888889,0.88888889,N,9,0,0,0,0,8,1
voicevote_v61/non_risk/1001__1001_TAI_SAD_XX__seg00.wav,1001_TAI_SAD_XX.wav,1001,1001_TAI_SAD_XX,0,0,non_risk,0.14285714,0.85714286,0.85714286,N,7,0,0,1,0,6,0
voicevote_v61/non_risk/1001__1001_TAI_SAD_XX__seg01.wav,1001_TAI_SAD_XX.wav,1001,1001_TAI_SAD_XX,1,8000,non_risk,0.14285714,0.85714286,0.85714286,N,7,0,0,1,0,6,0
voicevote_v61/non_risk/1001__1001_TAI_SAD_XX__seg02.wav,1001_TAI_SAD_XX.wav,1001,1001_TAI_SAD_XX,2,16000,non_risk,0.14285714,0.85714286,0.85714286,N,7,0,0,1,0,6,0
voicevote_v61/non_risk/1001__1001_TAI_SAD_XX__seg03.wav,1001_TAI_SAD_XX.wav,1001,1001_TAI_SAD_XX,3,24000,non_risk,0.14285714,0.85714286,0.85714286,N,7,0,0,1,0,6,0
voicevote_v61/non_risk/1001__1001_TAI_SAD_XX__seg04.wav,1001_TAI_SAD_XX.wav,1001,1001_TAI_SAD_XX,4,32000,non_risk,0.14285714,0.85714286,0.85714286,N,7,0,0,1,0,6,0
